S_t_actual,E_S_t,D_S_t,S_t_5,S_t_95,R,sigma2_formular,mu_formular,mu_estimate,Date,date,err
1258.2,1252.6606911624358,59.62941598820124,1237.5932490603109,1267.863396333848,-0.0017049002530794,3.800015827520378e-05,-0.0024778188875517,-0.0024778188875517,2016-10-18,36.0,0.00606229403657188
1269.05,1257.453216119384,52.990484675980326,1243.245406939987,1271.7807708711237,-0.0005935335245715,3.351250892508716e-05,-0.0009706537912917,-0.0009706537912917,2016-10-19,37.0,0.004402566235546246
1271.65,1269.6901952321352,32.22688034139496,1258.5996115494313,1280.8529025747116,0.0005044680919863,1.999025775193824e-05,0.0012913301713792,0.0012913301713792,2016-10-20,38.0,0.009138161522884047
1266.05,1272.836940313907,33.689433476902835,1261.49822199218,1284.2508690470231,0.00093338600551,2.0794268656290795e-05,0.0011427290275375,0.0011427290275375,2016-10-21,39.0,0.0015411510776274229
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-10-22,40.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-10-23,41.0,0.0
1265.55,1267.5466150004152,33.37803032916158,1256.260404277727,1278.9076519416394,0.0011821136609257,2.077439161649539e-05,0.0005876999804743,0.0005876999804743,2016-10-24,42.0,-0.005360720598639013
1269.4,1267.293492293872,31.12291692257293,1256.3939761725142,1278.2627931639086,0.0013776557969831,1.937856776629831e-05,0.0010771347529912,0.0010771347529912,2016-10-25,43.0,-0.0015776658373158892
1270.5,1271.1254737090087,30.4782775660292,1260.3389643056544,1281.9801164359208,0.0013592828966508,1.886294417449524e-05,0.0011447125883786,0.0011447125883786,2016-10-26,44.0,0.0016594514779645353
1266.25,1272.2736542626644,30.235838033085063,1261.5299652374213,1283.084873654177,0.001396028542042,1.867914037963861e-05,0.0008389446534038,0.0008389446534038,2016-10-27,45.0,-0.0004923051625413954
1273.0,1267.9672454394529,25.766735721814385,1258.0469898412898,1277.9452454215268,0.0013561661910783,1.6026543006795567e-05,0.0012862038923512,0.0012862038923512,2016-10-28,46.0,-0.004757081352548376
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-10-29,47.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-10-30,48.0,0.0
1272.0,1274.3546104695563,25.165459749287308,1264.550307681738,1284.2150275004674,0.0010641087741998,1.5496046645158095e-05,0.0016073081660835,0.0016073081660835,2016-10-31,49.0,0.0039534599847188545
1288.45,1272.873417066637,50.67236226763973,1258.9778586391892,1286.8820956458865,0.0006866486372933,3.12747557251995e-05,0.0012195050344888,0.0012195050344888,2016-11-1,50.0,-0.0018511088597139569
1303.75,1289.7769431725771,62.94448863558002,1274.296182477284,1305.3963779431006,0.0010298755656619,3.783731194159783e-05,0.0016975643760047,0.0016975643760047,2016-11-2,51.0,0.012089396510041484
1301.0,1306.758603639944,64.65894638684777,1291.068454924833,1322.589352388958,0.0023076537986148,3.786427669299511e-05,0.0027868914524034,0.0027868914524034,2016-11-3,52.0,0.010717589129375149
1302.8,1305.265019371669,61.51819569446084,1289.9590690970929,1320.7048933834278,0.0032782623917517,3.610757733863207e-05,0.0030410852332451,0.0030410852332451,2016-11-4,53.0,-0.0044262902689808925
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-11-05,54.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-11-06,55.0,0.0
1283.05,1307.6865846340074,101.62546182613394,1288.038471993384,1327.5555205759472,0.0037508325406874,5.942679259555973e-05,0.0032380769797967,0.0032380769797967,2016-11-7,56.0,-0.0018920934691963875
